x,y,z,w,rho,grad,tau,exchange,reference
-9.865143069698200E-06,4.219819692096100E-05,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
9.865143069698200E-06,-4.219819692096100E-05,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
-9.865143069698200E-06,-4.219819692096100E-05,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
4.219819692096100E-05,9.865143069698200E-06,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
-4.219819692096100E-05,9.865143069698200E-06,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
4.219819692096100E-05,-9.865143069698200E-06,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
-4.219819692096100E-05,-9.865143069698200E-06,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
4.219819692096100E-05,9.865143069698200E-06,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
-4.219819692096100E-05,9.865143069698200E-06,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
4.219819692096100E-05,-9.865143069698200E-06,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
-4.219819692096100E-05,-9.865143069698200E-06,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
